ID	Short	Long	GIVEN
138b	0	12	0
200	3	15	0
201	0	13	0
202	1	11	0
203	0	11	0
204	1	11	0
205	1	11	0
206	0	13	0
207	1	12	0
208	0	12	0
209	0	11	0
data001	0	11	1
data002	0	7	1
data003	2	10	0
data003a	2	9	0
data004	3	11	0
data005	0	14	1
data006	0	8	1
data007	0	10	1
data008	0	7	1
data009	3	9	0
data010	0	8	1
data011	0	7	1
data012	3	8	0
data013	0	9	1
data014	1	14	0
data015	0	14	1
data016	0	15	1
data017	0	16	1
data018	0	15	1
data019	0	15	1
data020	0	1	1
data021	0	16	1
data022	0	13	1
data023	0	10	1
data024	1	7	0
data025	1	13	0
data026	0	14	0
data026a	0	9	0
data027	2	7	0
data028	0	5	1
data029	0	4	1
data030	0	10	1
data031	0	9	1
data032	0	11	1
data033	0	14	1
data034	3	12	0
data035	0	11	0
data035a	0	10	0
data035b	0	9	0
data035c	1	10	0
data035d	0	10	0
data036	0	11	0
data036a	1	9	0
data036b	1	9	0
data036c	0	8	0
data037	0	6	1
data038	0	16	1
data039	0	18	1
data040	2	14	0
data041	1	15	0
data042	0	15	1
data043	4	11	0
data044	3	13	0
data044a	2	14	0
data045	0	10	1
data046	0	14	0
data047	1	14	0
data048	0	13	1
data049	0	8	1
data050	0	9	0
data051	1	4	0
data051a	2	1	0
data052	0	16	1
data053	2	13	0
data054	0	10	1
data055	2	14	0
data055a	2	14	0
data056	2	15	0
data056a	3	12	0
data057	0	12	0
data058	0	17	1
data059	2	13	0
data059a	2	11	0
data059b	1	15	0
data060	0	9	1
data061	1	11	0
data062	2	14	0
data062a	2	9	0
data063	1	15	0
data063a	2	16	0
data063b	1	15	0
data064	2	13	0
data064a	2	12	0
data065	0	16	1
data066	2	13	0
data067	0	12	1
data068	2	13	0
data068a	1	11	0
data068b	1	12	0
data069	2	18	0
data069a	1	8	0
data070	2	10	0
data071	2	8	0
data071a	1	8	0
data072	0	19	1
data073	0	17	0
data074	0	9	1
data075	0	15	1
data076	3	12	0
data077	0	20	1
data078	0	14	1
data079	3	19	0
data080	3	12	0
data081	0	14	1
data082	0	14	1
data083	0	10	0
data084	0	13	1
data085	0	11	1
data086	0	15	1
data087	0	12	1
data088	0	7	1
data089	1	13	0
data090	1	15	0
data091	0	14	0
data092	0	14	0
data092a	1	12	0
data093	0	17	1
data094	0	16	1
data095	0	16	0
data095a	1	13	0
data096	0	14	1
data097	0	16	0
data097a	0	11	0
data098	2	12	0
data098a	2	12	0
data099	1	14	0
data099a	1	16	0
data100	1	12	0
data100a	1	10	0
data100b	2	11	0
data101	2	15	0
data101a	2	15	0
data102	0	9	1
data103	0	11	1
data104	0	15	1
data105	0	8	1
data106	0	20	1
data107	0	18	1
data108	1	13	0
data108a	0	14	0
data109	0	10	0
data109a	0	6	0
data110	2	14	0
data111	2	10	0
data111a	2	10	0
data112	2	12	0
data113	0	12	1
data114	0	9	0
data115	2	8	0
data116	0	7	1
data117	0	13	1
data118	0	7	0
data119	0	6	0
data119a	1	13	0
data120	0	11	1
data121	1	13	0
data121a	2	13	0
data122	4	20	0
data123	3	17	0
data123a	3	17	0
data123b	2	19	0
data124	0	9	1
data125	0	15	1
data126	0	16	0
data127	1	16	0
data128	1	17	0
data129	0	17	0
data130	1	16	0
data131	2	15	0
data132	0	16	1
data133	0	19	0
data133a	0	17	0
data134	0	9	1
data135	0	18	1
data136	0	11	1
data137	0	16	0
data138	0	16	0
data139	2	16	0
data140	1	16	0
data141	0	8	1
data142	0	16	0
data142a	0	13	0
data143	0	14	1
data144	1	14	0
data145	0	14	0
data146	0	13	1
